ROM DataFile Version : 1.1
TBAS-128¬tbas128¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
C_34¬c¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
C_2__P34-128¬c1¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
C¬c2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DTASM__21¬dtasm¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ARIFM80¬arifm80¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PASCALMT__33¬pascalmt¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PAS_MT¬pascalm1¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PASCALMT¬pascalm2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TASM400__03¬tasm400¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TASM¬tasm¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TASM-AS¬tasmas¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TASM410¬tasm410¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TP128_1__TURBO128¬tp128¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TP128_2__P2¬tp128a¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TPASCAL__TURBO128¬turbo128¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
Corona_220__LIST-7¬coronal7¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GRAF__20¬graf¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
GRAFIKA-1¬grafika¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAYCAD1__DISK4¬laycad1¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAYCAD2__DISK12¬laycad2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
LAYCAD3__09¬laycad3¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS_l_1__01¬ordos1¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
