ROM DataFile Version : 1.1
POPCORN¬popcorn¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PSST¬psst¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
PUSHER¬pusher¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
R-TEST¬rtest¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RAIN¬rain¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RALLY¬rally¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RALLY2¬rally2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REVERSI¬reversi¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REVERSI2¬reversi2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
REVERSI3¬reversi3¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
RISEOUT¬riseout¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ROBOT¬robot¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SABOTEUR¬saboteur¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SAMFOX¬samfox¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SCRAP2¬scrap2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SCRAPPER¬scrapper¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SKACHKI¬skachki¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SKACHKI2¬skachki2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SONATA¬sonata¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SP_KING¬spking¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SPATROL¬spatrol¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SPKING2¬spking2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
SQUARE¬square¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STAKAN¬stakan¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STAKAN2¬stakan2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STARTREK¬startrek¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STARWAR2¬starwar2¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
STARWARS¬starwars¬¬¬./qp.exe¬Retroarch Specialist -SOFTLIST special_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
