ROM DataFile Version : 1.1
TETRIS3$¬tetris3¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
THRUSTA$¬thrusta¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
TUTAN$¬tutan¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
UDAV$¬udav¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
US_07_9$¬us079¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VALLEY$¬valley¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VAVILON$¬vavilon¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
VITAMIN$¬vitamin¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
WAR$¬war¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
XONIX$¬xonix¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZOO$¬zoo¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ZOO2$¬zoo2¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
