ROM DataFile Version : 1.1
BASIC80¬basic80¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC_OK¬basicok¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC_PR¬basicpr¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASIC_RK¬basicrk¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASICMUS¬basicmus¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASICPC¬basicpc¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASICSER¬basicser¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASMIC¬basmic¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BASMIKR¬basmikr¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BS_M_OLD¬bsmold¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BS_PSF¬bspsf¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
BS_SVVI¬bssvvi¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
C¬c¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CONSTMAG¬constmag¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
CPM¬cpm¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DEBUG¬debug¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DSSM-CPM¬dssmcpm¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
DUMPED¬dumped¬¬¬./qp.exe¬Retroarch Radio-86RK -SOFTLIST radio86_cass (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
